LAU,commune,pop_total_2021,pop_0_14,pop_15_64,pop_65p,share_65p,old_dep_ratio,youth_dep_ratio,share_foreign_citizenship,share_foreign_born,share_never_married,share_divorced,share_widowed,share_not_in_family_nucleus,share_private_household,share_institutional,LAU_trim
LU0000603,Diekirch,14286,1860,9726,2700,18.89962200755985,27.760641579272054,19.123997532387417,43.35713285734285,45.77908441831163,,,,22.917541649167017,92.44015119697606,7.55984880302394,00603
LU0000806,Lac de la Haute-Sûre,4320,764,2900,656,15.185185185185185,22.620689655172413,26.344827586206897,28.055555555555557,30.277777777777775,,,,18.425925925925927,100.0,0.0,00806
LU0000212,Rumelange,11340,2008,7718,1614,14.232804232804233,20.912153407618554,26.01710287639285,43.686067019400355,43.932980599647266,,,,18.71252204585538,98.00705467372134,1.9929453262786598,00212
LU0000104,Käerjeng,21522,3082,14646,3794,17.628473190223957,25.904683872729755,21.04328826983477,31.028714803456932,33.84443824923334,,,,17.396152773905772,98.38304990242543,1.6169500975745748,00104
LU0000301,Bertrange,17068,2778,11346,2944,17.248652449027418,25.947470474175923,24.48439978847171,53.52706819779704,56.86665104288727,,,,18.33841106163581,97.90250761659244,2.0974923834075465,00301
LU0000805,Kiischpelt,2452,428,1666,358,14.600326264274063,21.48859543817527,25.690276110444177,30.587275693311582,31.89233278955954,,,,18.02610114192496,100.0,0.0,00805
LU0000708,Useldange,4058,736,2804,518,12.764908822079843,18.473609129814548,26.24821683309558,20.896993592902906,24.10054213898472,,,,15.278462296697882,98.17644159684573,1.8235584031542633,00708
LU0000401,Colmar-Berg,4542,800,3114,628,13.826508146191104,20.166987797045604,25.690430314707775,39.6741523557904,40.99515631880229,,,,19.682959048877148,99.8678996036988,0.13210039630118892,00401
LU0000201,Bettembourg,22812,3848,15044,3920,17.183938278099244,26.056899760701942,25.57830364264823,40.30334911450114,42.688058916359815,,,,17.183938278099244,97.79063650710152,2.2093634928984742,00201
LU0000102,Garnich,4510,828,3038,644,14.279379157427938,21.19815668202765,27.25477287689269,25.942350332594234,30.95343680709534,,,,14.811529933481152,100.0,0.0,00102
LU0001003,Berdorf,3966,674,2710,582,14.674735249621785,21.476014760147603,24.870848708487085,37.16591023701463,39.83862834089763,,,,17.851739788199698,91.72970247100352,8.27029752899647,01003
LU0000214,Schifflange,22296,3612,15258,3426,15.365984930032292,22.45379473063311,23.67282736924892,40.06099748833872,43.18263365626121,,,,23.116254036598495,98.6275565123789,1.372443487621098,00214
LU0000404,Fischbach,2512,518,1780,214,8.519108280254777,12.022471910112358,29.10112359550562,30.254777070063692,31.210191082802545,,,,15.127388535031846,100.0,0.0,00404
LU0000308,Steinsel,11118,1884,6994,2240,20.147508544702283,32.02745210180154,26.937374892765227,38.26227738801943,42.99334412664148,,,,14.732865623313545,97.42759489116747,2.5724051088325237,00308
LU0000701,Beckerich,5552,888,3912,752,13.544668587896252,19.222903885480573,22.699386503067483,29.322766570605186,32.528818443804035,,,,14.048991354466859,100.0,0.0,00701
LU0000309,Strassen,20522,3776,13978,2768,13.487964136049118,19.802546859350407,27.013878952639864,61.13439235941917,65.06188480654906,,,,20.709482506578304,99.43475294805575,0.565247051944255,00309
LU0000410,Nommern,2892,506,2036,350,12.10235131396957,17.19056974459725,24.85265225933202,19.571230982019365,23.58229598893499,,,,14.246196403872752,100.0,0.0,00410
LU0000307,Schuttrange,8612,1542,5744,1326,15.397120297259637,23.084958217270195,26.845403899721447,44.68183929400836,48.211797491871806,,,,16.95308871342313,97.72410589874593,2.275894101254064,00307
LU0000205,Frisange,9536,1584,6490,1462,15.331375838926176,22.526964560862865,24.40677966101695,35.0251677852349,38.08724832214765,,,,16.65268456375839,98.90939597315436,1.0906040268456376,00205
LU0000108,Mamer,20852,4116,13398,3338,16.008056781124115,24.91416629347664,30.721003134796238,50.86322654901208,54.13389602915788,,,,14.991367734509877,98.61883752158066,1.3811624784193364,00108
LU0000405,Heffingen,3012,602,2088,322,10.690571049136786,15.421455938697317,28.831417624521073,28.884462151394423,32.80212483399734,,,,12.217795484727755,100.0,0.0,00405
LU0000606,Feulen,4604,814,3128,662,14.378801042571677,21.163682864450127,26.0230179028133,27.93223284100782,30.625543006081667,,,,15.682015638575153,100.0,0.0,00606
LU0000408,Lorentzweiler,8840,1478,5684,1678,18.981900452488688,29.521463757916962,26.002814919071078,40.61085972850679,43.529411764705884,,,,16.470588235294116,97.6470588235294,2.3529411764705883,00408
LU0000407,Lintgen,6802,1130,4794,878,12.90796824463393,18.314559866499792,23.57113057989153,42.72272860923258,43.04616289326669,,,,19.25904145839459,99.11790649808879,0.8820935019112026,00407
LU0000704,Rambrouch,9394,1534,6438,1422,15.137321694698743,22.087604846225535,23.827275551413482,35.213966361507346,38.72684692356824,,,,18.373429848839685,99.233553331914,0.7664466680860124,00704
LU0000211,Roeser,13196,2076,8916,2204,16.70203091846014,24.71960520412741,23.283983849259755,39.66353440436496,42.42194604425584,,,,20.081842982722037,98.93907244619582,1.0609275538041831,00211
